Year,,SeaLevel
1903,2083,-38.72
1903,2917,-35.55
1903,375,-34.6
1903,4583,-35.43
1903,5417,-40.26
1903,625,-42.56
1903,7083,-46.26
1903,7917,-43.23
1903,875,-45.69
1903,9583,-42.46
1904,417,-45.89
1904,125,-39.98
1904,2083,-43.62
1904,2917,-44.01
1904,375,-46.75
1904,4583,-43.25
1904,5417,-43.09
1904,625,-42.17
1904,7083,-43.06
1904,7917,-43.36
1904,875,-43.99
1904,9583,-46
1905,417,-48.41
1905,125,-49.95
1905,2083,-50.39
1905,2917,-49.86
1905,375,-50.1
1905,4583,-49.83
1905,5417,-48.65
1905,625,-44.93
1905,7083,-42.32
1905,7917,-43.97
1905,875,-46.24
1905,9583,-49.54
1906,417,-44.3
1906,125,-40.71
1906,2083,-38.42
1906,2917,-40.95
1906,375,-40.43
1906,4583,-41.57
1906,5417,-39.92
1906,625,-41.96
1906,7083,-41.49
1906,7917,-42.02
1906,875,-43.98
1906,9583,-43.39
1907,417,-44.57
1907,125,-41.22
1907,2083,-41.83
1907,2917,-40.83
1907,375,-41.97
1907,4583,-40.46
1907,5417,-41.64
1907,625,-39.86
1907,7083,-45.69
1907,7917,-47.64
1907,875,-51.96
1907,9583,-49.81
1908,417,-46.98
1908,125,-45.84
1908,2083,-46.2
1908,2917,-48.87
1908,375,-47.34
1908,4583,-44.42
1908,5417,-43.12
1908,625,-44.14
1908,7083,-46.85
1908,7917,-50.08
1908,875,-48.72
1908,9583,-46.29
1909,417,-38.16
1909,125,-35.42
1909,2083,-35.43
1909,2917,-41.52
1909,375,-46.53
1909,4583,-51.67
1909,5417,-49.38
1909,625,-46.06
1909,7083,-40.96
1909,7917,-39.6
1909,875,-40.62
1909,9583,-43.25
1910,417,-44.76
1910,125,-46.83
1910,2083,-46.02
1910,2917,-45.75
1910,375,-41.42
1910,4583,-41.96
1910,5417,-41.29
1910,625,-44.48
1910,7083,-44.8
1910,7917,-45.4
1910,875,-45.66
1910,9583,-47.56
1911,417,-49.11
1911,125,-44.63
1911,2083,-40.47
1911,2917,-36.58
1911,375,-38.85
1911,4583,-37.82
1911,5417,-37.17
1911,625,-32.83
1911,7083,-29.48
1911,7917,-27.38
1911,875,-31.1
1911,9583,-33.09
1912,417,-38.93
1912,125,-39.7
1912,2083,-43.42
1912,2917,-43.32
1912,375,-42.84
1912,4583,-38.58
1912,5417,-38.24
1912,625,-37.78
1912,7083,-39.4
1912,7917,-39.88
1912,875,-38.62
1912,9583,-36.01
1913,417,-40.04
1913,125,-41.66
1913,2083,-45.52
1913,2917,-46
1913,375,-44.71
1913,4583,-39.48
1913,5417,-35.42
1913,625,-31.05
1913,7083,-31.59
1913,7917,-34.13
1913,875,-33.23
1913,9583,-38.97
1914,417,-33.34
1914,125,-37.4
1914,2083,-32.71
1914,2917,-34.62
1914,375,-31.64
1914,4583,-33.82
1914,5417,-32.72
1914,625,-34.99
1914,7083,-31.83
1914,7917,-28.69
1914,875,-20.05
1914,9583,-11.64
1915,417,-6.45
1915,125,-5.75
1915,2083,-9.86
1915,2917,-15.88
1915,375,-21.06
1915,4583,-23.7
1915,5417,-27.79
1915,625,-30.39
1915,7083,-35.36
1915,7917,-38.26
1915,875,-35.88
1915,9583,-35.89
1916,417,-31.62
1916,125,-32.21
1916,2083,-28.35
1916,2917,-29.02
1916,375,-29.13
1916,4583,-32.34
1916,5417,-35.85
1916,625,-38.62
1916,7083,-38.12
1916,7917,-36.29
1916,875,-30.85
1916,9583,-28.73
1917,417,-28.69
1917,125,-33.64
1917,2083,-37.73
1917,2917,-41.85
1917,375,-42.68
1917,4583,-41.59
1917,5417,-38.95
1917,625,-37.6
1917,7083,-37.16
1917,7917,-35.88
1917,875,-34.46
1917,9583,-32.76
1918,417,-32.82
1918,125,-37.13
1918,2083,-39.63
1918,2917,-41.45
1918,375,-38.31
1918,4583,-34.82
1918,5417,-32.48
1918,625,-31.24
1918,7083,-27.37
1918,7917,-29.18
1918,875,-29.13
1918,9583,-33.61
1919,417,-34.31
1919,125,-36.15
1919,2083,-35.39
1919,2917,-33.47
1919,375,-33.36
1919,4583,-29.09
1919,5417,-31.13
1919,625,-28.46
1919,7083,-28.7
1919,7917,-29.91
1919,875,-29.28
1919,9583,-33.01
1920,417,-33.72
1920,125,-38.08
1920,2083,-38.16
1920,2917,-35.69
1920,375,-29.93
1920,4583,-26.47
1920,5417,-24.6
1920,625,-27.82
1920,7083,-31.52
1920,7917,-33.83
1920,875,-35.48
1920,9583,-33.6
1921,417,-34
1921,125,-31.63
1921,2083,-30.87
1921,2917,-30.04
1921,375,-27.18
1921,4583,-28.52
1921,5417,-30.32
1921,625,-37.01
1921,7083,-40.52
1921,7917,-40.78
1921,875,-41.01
1921,9583,-36.69
1922,417,-36.76
1922,125,-33.1
1922,2083,-35.64
1922,2917,-35.38
1922,375,-33.88
1922,4583,-32.84
1922,5417,-36.14
1922,625,-38.89
1922,7083,-39.75
1922,7917,-37.12
1922,875,-32.28
1922,9583,-30.32
1923,417,-32.13
1923,125,-35.14
1923,2083,-33.97
1923,2917,-27.79
1923,375,-23.58
1923,4583,-25.82
1923,5417,-31.71
1923,625,-35.07
1923,7083,-33.19
1923,7917,-32.49
1923,875,-34.92
1923,9583,-38.99
1924,417,-40.06
1924,125,-35.92
1924,2083,-36.81
1924,2917,-35.42
1924,375,-37.94
1924,4583,-39.34
1924,5417,-41.33
1924,625,-41.55
1924,7083,-41.03
1924,7917,-40.83
1924,875,-41.53
1924,9583,-42.85
1925,417,-41.34
1925,125,-40.97
1925,2083,-40.76
1925,2917,-42.41
1925,375,-40.43
1925,4583,-41.35
1925,5417,-41.71
1925,625,-41.91
1925,7083,-41.68
1925,7917,-40.71
1925,875,-41.58
1925,9583,-37.44
1926,417,-40.03
1926,125,-40.67
1926,2083,-43.99
1926,2917,-42.97
1926,375,-40.15
1926,4583,-37.21
1926,5417,-34.74
1926,625,-28.65
1926,7083,-28.78
1926,7917,-25.26
1926,875,-31.73
1926,9583,-32.24
1927,417,-34.68
1927,125,-32.43
1927,2083,-31.48
1927,2917,-31.19
1927,375,-31.91
1927,4583,-32.75
1927,5417,-34.07
1927,625,-31.71
1927,7083,-34.17
1927,7917,-31.21
1927,875,-34.13
1927,9583,-36.9
1928,417,-41.01
1928,125,-39.95
1928,2083,-37.53
1928,2917,-32.56
1928,375,-31.43
1928,4583,-27.39
1928,5417,-28.43
1928,625,-27.95
1928,7083,-30.94
1928,7917,-34.31
1928,875,-38.08
1928,9583,-37.48
1929,417,-40.19
1929,125,-38.48
1929,2083,-41.15
1929,2917,-37.97
1929,375,-38.45
1929,4583,-34.03
1929,5417,-32.09
1929,625,-31.19
1929,7083,-33.56
1929,7917,-36.75
1929,875,-38.16
1929,9583,-39.72
1930,417,-37.33
1930,125,-35.19
1930,2083,-34.88
1930,2917,-35.95
1930,375,-33.99
1930,4583,-28.43
1930,5417,-21.15
1930,625,-19.84
1930,7083,-21.02
1930,7917,-23.58
1930,875,-28.24
1930,9583,-30.71
1931,417,-31.99
1931,125,-30.49
1931,2083,-27.52
1931,2917,-27.8
1931,375,-26.66
1931,4583,-29.02
1931,5417,-28.12
1931,625,-31.56
1931,7083,-29.14
1931,7917,-30.11
1931,875,-29.67
1931,9583,-28.72
1932,417,-28.02
1932,125,-23.94
1932,2083,-25.29
1932,2917,-23.39
1932,375,-24.06
1932,4583,-23.01
1932,5417,-23.58
1932,625,-27.06
1932,7083,-25.25
1932,7917,-25.69
1932,875,-21.39
1932,9583,-21
1933,417,-18.61
1933,125,-19.66
1933,2083,-19.18
1933,2917,-20.32
1933,375,-22.06
1933,4583,-21.63
1933,5417,-24.47
1933,625,-23.28
1933,7083,-24.39
1933,7917,-23.94
1933,875,-26.94
1933,9583,-26
1934,417,-25.43
1934,125,-24.01
1934,2083,-23.77
1934,2917,-26.55
1934,375,-27.19
1934,4583,-32.07
1934,5417,-31.2
1934,625,-34.85
1934,7083,-30.8
1934,7917,-32.93
1934,875,-28.29
1934,9583,-27.08
1935,417,-21.62
1935,125,-18.92
1935,2083,-16.78
1935,2917,-15.56
1935,375,-16.23
1935,4583,-16.62
1935,5417,-18.19
1935,625,-21.16
1935,7083,-23.4
1935,7917,-26.76
1935,875,-25.28
1935,9583,-23.54
1936,417,-18.52
1936,125,-16.72
1936,2083,-20.28
1936,2917,-24.26
1936,375,-25.44
1936,4583,-23.99
1936,5417,-23.64
1936,625,-18.75
1936,7083,-20.66
1936,7917,-15.71
1936,875,-20.14
1936,9583,-18.68
1937,417,-20.91
1937,125,-18.88
1937,2083,-20.18
1937,2917,-18.58
1937,375,-17.41
1937,4583,-19.36
1937,5417,-19.04
1937,625,-19.94
1937,7083,-15.39
1937,7917,-13.78
1937,875,-12.44
1937,9583,-11.98
1938,417,-10.63
1938,125,-9.26
1938,2083,-7.56
1938,2917,-7.8
1938,375,-11.86
1938,4583,-14.61
1938,5417,-19.71
1938,625,-17.1
1938,7083,-14.54
1938,7917,-10
1938,875,-10.27
1938,9583,-12.53
1939,417,-14.3
1939,125,-19.15
1939,2083,-18.31
1939,2917,-16.41
1939,375,-10.49
1939,4583,-4.12
1939,5417,-3.44
1939,625,-5.82
1939,7083,-11.53
1939,7917,-13.99
1939,875,-12.43
1939,9583,-11.42
1940,417,-11.87
1940,125,-13.79
1940,2083,-16.82
1940,2917,-21.84
1940,375,-21.78
1940,4583,-24.8
1940,5417,-22.02
1940,625,-19.68
1940,7083,-16.98
1940,7917,-13.25
1940,875,-9.29
1940,9583,-5.54
1941,417,-3.76
1941,125,-0.56
1941,2083,-0.14
1941,2917,-0.84
1941,375,-2.67
1941,4583,-2.89
1941,5417,-1.01
1941,625,2.03
1941,7083,1.65
1941,7917,-1.57
1941,875,-4.72
1941,9583,-3.76
1942,417,-3.85
1942,125,-2.61
1942,2083,-5.32
1942,2917,-6.72
1942,375,-5.66
1942,4583,-1.91
1942,5417,2.3
1942,625,5.47
1942,7083,7.28
1942,7917,5.71
1942,875,2.79
1942,9583,-2.1
1943,417,0.43
1943,125,2.86
1943,2083,3.89
1943,2917,3.94
1943,375,-1.19
1943,4583,-2.26
1943,5417,-6.1
1943,625,-6.14
1943,7083,-5.84
1943,7917,-6.63
1943,875,-8.76
1943,9583,-7.76
1944,417,-2.63
1944,125,4.68
1944,2083,6.06
1944,2917,0.19
1944,375,-7.11
1944,4583,-12.35
1944,5417,-13.01
1944,625,-12.26
1944,7083,-8.93
1944,7917,-6.35
1944,875,-2.52
1944,9583,-2.1
1945,417,-0.7
1945,125,-1.84
1945,2083,-2.59
1945,2917,-3.03
1945,375,-0.89
1945,4583,1.44
1945,5417,-2.55
1945,625,-3.23
1945,7083,-5.71
1945,7917,-2.75
1945,875,-2.65
1945,9583,-0.12
1946,417,-2.22
1946,125,1.54
1946,2083,1.29
1946,2917,4.7
1946,375,8.51
1946,4583,10.88
1946,5417,12.11
1946,625,8.79
1946,7083,4.79
1946,7917,0.18
1946,875,-2.89
1946,9583,-3.47
1947,417,-3.53
1947,125,-0.67
1947,2083,-0.35
1947,2917,-3.46
1947,375,-3.55
1947,4583,-0.85
1947,5417,2.08
1947,625,5.8
1947,7083,9.42
1947,7917,13.85
1947,875,16.22
1947,9583,12.65
1948,417,10.85
1948,125,6.85
1948,2083,6.65
1948,2917,5.82
1948,375,9.05
1948,4583,10.25
1948,5417,12.61
1948,625,11.31
1948,7083,12.58
1948,7917,11.33
1948,875,11.29
1948,9583,11.92
1949,417,13.3
1949,125,15.24
1949,2083,12.59
1949,2917,10.72
1949,375,8.65
1949,4583,6.02
1949,5417,4.58
1949,625,5.34
1949,7083,5.26
1949,7917,9.89
1949,875,11.66
1949,9583,12.14
1950,417,9.43
1950,125,8.12
1950,2083,9.14
1950,2917,13.24
1950,375,15.82
1950,4583,16.03
1950,5417,15.43
1950,625,14.42
1950,7083,16.65
1950,7917,17.81
1950,875,18.74
1950,9583,19.44
1951,417,18.14
1951,125,23.83
1951,2083,29.74
1951,2917,31.94
1951,375,33.37
1951,4583,29.68
1951,5417,26.65
1951,625,23.45
1951,7083,23.83
1951,7917,22.17
1951,875,20.85
1951,9583,18.08
1952,417,17.26
1952,125,17.88
1952,2083,16.84
1952,2917,17.47
1952,375,18.4
1952,4583,21.52
1952,5417,21.24
1952,625,23.09
1952,7083,25.71
1952,7917,26.98
1952,875,29.81
1952,9583,29.39
1953,417,27.36
1953,125,24.51
1953,2083,21.68
1953,2917,24.58
1953,375,27
1953,4583,29.77
1953,5417,26.92
1953,625,24.64
1953,7083,23.76
1953,7917,21.79
1953,875,22.17
1953,9583,21.22
1954,417,24.22
1954,125,25.41
1954,2083,25.28
1954,2917,22.49
1954,375,22.26
1954,4583,19.5
1954,5417,16.29
1954,625,15.94
1954,7083,19.1
1954,7917,25.29
1954,875,29.52
