Year	SeaLevel
1870.0417	-75.61
1870.125	-75.68
1870.2083	-74.13
1870.2917	-74.06
1870.375	-73.23
1870.4583	-74.47
1870.5417	-72.76
1870.625	-70.71
1870.7083	-71.18
1870.7917	-70.77
1870.875	-78.15
1870.9583	-81.73
1871.0417	-86.35
1871.125	-82.06
1871.2083	-78.42
1871.2917	-72.57
1871.375	-72.59
1871.4583	-71.52
1871.5417	-71.57
1871.625	-74.75
1871.7083	-76.29
1871.7917	-82.41
1871.875	-80.74
1871.9583	-79.35
1872.0417	-70.77
1872.125	-69.31
1872.2083	-69.43
1872.2917	-72.52
1872.375	-71.64
1872.4583	-70.57
1872.5417	-68.65
1872.625	-68.91
1872.7083	-68.18
1872.7917	-67.5
1872.875	-65.06
1872.9583	-65.06
1873.0417	-65.93
1873.125	-75.45
1873.2083	-79.28
1873.2917	-81.03
1873.375	-77.37
1873.4583	-74.21
1873.5417	-71.23
1873.625	-69.82
1873.7083	-70.94
1873.7917	-69.11
1873.875	-69.9
1873.9583	-68.27
1874.0417	-71.27
1874.125	-75.7
1874.2083	-80.13
1874.2917	-77.63
1874.375	-75.97
1874.4583	-72.7
1874.5417	-71.57
1874.625	-69.8
1874.7083	-69.24
1874.7917	-71.77
1874.875	-75.43
1874.9583	-81
1875.0417	-80.37
1875.125	-85.08
1875.2083	-84.15
1875.2917	-81.86
1875.375	-78.23
1875.4583	-74.34
1875.5417	-73.51
1875.625	-73
1875.7083	-73.88
1875.7917	-74.98
1875.875	-77.97
1875.9583	-78.52
1876.0417	-77.44
1876.125	-69.23
1876.2083	-64.49
1876.2917	-66.78
1876.375	-70.83
1876.4583	-69.74
1876.5417	-66.32
1876.625	-63.58
1876.7083	-61.22
1876.7917	-61.87
1876.875	-58.24
1876.9583	-56.85
1877.0417	-55.97
1877.125	-56.67
1877.2083	-57.77
1877.2917	-57.72
1877.375	-57.63
1877.4583	-55.43
1877.5417	-54.55
1877.625	-54.05
1877.7083	-54.76
1877.7917	-54.83
1877.875	-52.07
1877.9583	-53.42
1878.0417	-50.87
1878.125	-48.12
1878.2083	-45.44
1878.2917	-44.29
1878.375	-45.76
1878.4583	-48.27
1878.5417	-53.44
1878.625	-54.9
1878.7083	-59.66
1878.7917	-61.86
1878.875	-68.54
1878.9583	-66.26
1879.0417	-69.25
1879.125	-62.05
1879.2083	-63.03
1879.2917	-56.53
1879.375	-59.46
1879.4583	-54.6
1879.5417	-57.87
1879.625	-60.5
1879.7083	-67.62
1879.7917	-75.07
1879.875	-82.8
1879.9583	-83.67
1880.0417	-83.14
1880.125	-72.65
1880.2083	-70.08
1880.2917	-63.87
1880.375	-64.13
1880.4583	-61.77
1880.5417	-61.8
1880.625	-63.09
1880.7083	-63.82
1880.7917	-61.14
1880.875	-60.27
1880.9583	-56.46
1881.0417	-58.29
1881.125	-58.91
1881.2083	-59.33
1881.2917	-59.28
1881.375	-58.69
1881.4583	-57.38
1881.5417	-56.43
1881.625	-58.49
1881.7083	-62.6
1881.7917	-66.9
1881.875	-69.03
1881.9583	-72.24
1882.0417	-73.57
1882.125	-73.55
1882.2083	-68.82
1882.2917	-68.86
1882.375	-66.73
1882.4583	-71.55
1882.5417	-70.6
1882.625	-73.37
1882.7083	-73.85
1882.7917	-80.1
1882.875	-82.63
1882.9583	-84.79
1883.0417	-81.69
1883.125	-78.46
1883.2083	-72.86
1883.2917	-70.93
1883.375	-67.16
1883.4583	-68.8
1883.5417	-72.45
1883.625	-73.34
1883.7083	-76.71
1883.7917	-74.14
1883.875	-70.67
1883.9583	-65.27
1884.0417	-61.93
1884.125	-59.87
1884.2083	-59.42
1884.2917	-52.88
1884.375	-55.08
1884.4583	-53.33
1884.5417	-61.02
1884.625	-61.53
1884.7083	-69.88
1884.7917	-69.23
1884.875	-73.52
1884.9583	-63.72
1885.0417	-64.25
1885.125	-59.69
1885.2083	-62.19
1885.2917	-64.09
1885.375	-65.23
1885.4583	-65.25
1885.5417	-68.6
1885.625	-65.97
1885.7083	-69.84
1885.7917	-67
1885.875	-62.44
1885.9583	-56.25
1886.0417	-51.12
1886.125	-55.62
1886.2083	-56.87
1886.2917	-57.82
1886.375	-56.8
1886.4583	-57.43
1886.5417	-59.8
1886.625	-58.82
1886.7083	-61.9
1886.7917	-61.73
1886.875	-61.8
1886.9583	-61.68
1887.0417	-60.28
1887.125	-67.43
1887.2083	-64.85
