#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.95 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-16.36000,,,
1992.9865,-18.06000,,,
1993.0123,-14.96000,,,
1993.0407,-19.96000,,,
1993.0660,-25.36000,,,
1993.0974,-29.46000,,,
1993.1206,-27.76000,,,
1993.1493,-21.96000,,,
1993.1765,-19.06000,,,
1993.2037,-19.56000,,,
1993.2307,-23.06000,,,
1993.2851,-26.36000,,,
1993.3123,-20.16000,,,
1993.3394,-19.96000,,,
1993.3665,-17.26000,,,
1993.3937,-22.16000,,,
1993.4208,-26.86000,,,
1993.4480,-23.86000,,,
1993.4751,-19.06000,,,
1993.5021,-15.76000,,,
1993.5294,-16.36000,,,
1993.5837,-23.16000,,,
1993.6117,-18.96000,,,
1993.6381,-13.56000,,,
1993.6652,-8.46000,,,
1993.6923,-9.16000,,,
1993.7189,-14.26000,,,
1993.7466,-13.66000,,,
1993.7738,-8.16000,,,
1993.8009,-8.46000,,,
1993.8553,-5.56000,,,
1993.8824,-12.16000,,,
1993.9098,-13.76000,,,
1993.9367,-12.56000,,,
1993.9639,-6.26000,,,
1993.9907,-5.66000,,,
1994.0181,-15.56000,,,
1994.0452,-16.56000,,,
1994.0723,-18.96000,,,
1994.0995,-21.26000,,,
1994.1267,-20.16000,,,
1994.1539,-14.16000,,,
1994.1809,-13.66000,,,
1994.2353,-18.76000,,,
1994.2624,-16.56000,,,
1994.2896,-14.46000,,,
1994.3168,-11.96000,,,
1994.3439,-15.76000,,,
1994.3710,-20.66000,,,
1994.3982,-23.76000,,,
1994.4253,-20.86000,,,
1994.4524,-14.46000,,,
1994.5067,-20.56000,,,
1994.5339,-18.86000,,,
1994.5610,-20.86000,,,
1994.5882,-15.96000,,,
1994.6154,-12.06000,,,
1994.6425,-7.66000,,,
1994.6697,-8.86000,,,
1994.6968,-9.86000,,,
1994.7239,-11.26000,,,
1994.7510,-9.06000,,,
1994.7782,-6.66000,,,
1994.8054,-0.16000,,,
1994.8325,-1.86000,,,
1994.8868,-10.86000,,,
1994.9140,-12.16000,,,
1994.9412,-3.56000,,,
1994.9684,-3.96000,,,
1994.9955,-8.46000,,,
1995.0226,-12.56000,,,
1995.0497,-16.16000,,,
1995.0769,-8.76000,,,
1995.1040,-10.06000,,,
1995.1312,-11.86000,,,
1995.1583,-12.56000,,,
1995.2127,-11.56000,,,
1995.2398,-16.96000,,,
1995.2669,-11.46000,,,
1995.2941,-9.36000,,,
1995.3212,-13.36000,,,
1995.3755,-18.16000,,,
1995.4028,-15.06000,,,
1995.4298,-9.56000,,,
1995.4569,-12.66000,,,
1995.4841,-17.96000,,,
1995.5384,-20.86000,,,
1995.5655,-15.76000,,,
1995.5927,-11.86000,,,
1995.6199,-7.56000,,,
1995.6470,-11.16000,,,
1995.6740,-10.96000,,,
1995.7013,-6.66000,,,
1995.7285,1.74000,,,
1995.7556,-0.26000,,,
1995.7827,-1.26000,,,
1995.8371,-5.56000,,,
1995.8643,-5.26000,,,
1995.8899,-1.86000,,,
1995.9456,-1.56000,,,
1995.9728,-3.56000,,,
1995.9998,-10.46000,,,
1996.0270,-13.46000,,,
1996.0533,-11.96000,,,
1996.0814,-7.66000,,,
1996.1084,-4.46000,,,
1996.1631,-11.56000,,,
1996.1899,-14.76000,,,
1996.2171,-11.46000,,,
1996.2442,-7.16000,,,
1996.2714,-10.36000,,,
1996.2985,-14.86000,,,
1996.3257,-15.16000,,,
1996.3529,-12.76000,,,
1996.3800,-10.16000,,,
1996.4071,-8.16000,,,
1996.4342,-10.96000,,,
1996.4886,-16.16000,,,
1996.5157,-13.46000,,,
1996.5429,-8.06000,,,
1996.5700,-2.96000,,,
1996.5972,-5.16000,,,
1996.6244,-10.16000,,,
1996.6515,-10.16000,,,
1996.6786,-10.36000,,,
1996.7053,-2.96000,,,
1996.7335,4.54000,,,
